geofips,location_name,state,geography_type,year,mode,dest,orig,vmt,dist_within,inflow,outflow
6003,Alpine County,CA,county,2023,BIKING,64278,85354,74816,28329,17974,28512
6003,Alpine County,CA,county,2023,CARPOOL,15055502,17729767,16392634,721074,7167214,8504346
6003,Alpine County,CA,county,2023,COMMERCIAL,1412706,1696802,1554754,91160,660773,802821
6003,Alpine County,CA,county,2023,ON_DEMAND_AUTO,24532,28455,26494,8629,7952,9913
6003,Alpine County,CA,county,2023,OTHER_TRAVEL_MODE,18934207,28747742,23840975,141978,9396114,14302882
6003,Alpine County,CA,county,2023,PRIVATE_AUTO,39593251,41747510,40670380,2557195,18518028,19595157
6003,Alpine County,CA,county,2023,WALKING,72027,71902,71964,68465,1781,1718
6005,Amador County,CA,county,2019,BIKING,5861669,5919171,5890420,5560489,150590,179341
6005,Amador County,CA,county,2019,CARPOOL,166898909,187429496,177164202,59111250,53893829,64159123
6005,Amador County,CA,county,2019,COMMERCIAL,54275570,54554486,54415028,19477531,17399020,17538477
6005,Amador County,CA,county,2019,ON_DEMAND_AUTO,2034849,1954835,1994842,1079410,477719,437712
6005,Amador County,CA,county,2019,OTHER_TRAVEL_MODE,63900404,77723587,70811995,3879392,30010506,36922097
6005,Amador County,CA,county,2019,PRIVATE_AUTO,501153289,486745956,493949623,179730474,160711407,153507741
6005,Amador County,CA,county,2019,PUBLIC_TRANSIT,133113,186119,159616,133113,0,26503
6005,Amador County,CA,county,2019,WALKING,3711721,3727882,3719802,3691577,10072,18153
6005,Amador County,CA,county,2021,BIKING,730770,730355,730563,725424,2673,2466
6005,Amador County,CA,county,2021,CARPOOL,310925015,317871040,314398027,91149538,109887738,113360751
6005,Amador County,CA,county,2021,COMMERCIAL,27663213,32571897,30117555,6860861,10401176,12855518
6005,Amador County,CA,county,2021,ON_DEMAND_AUTO,1300053,1512272,1406162,674966,312544,418653
6005,Amador County,CA,county,2021,OTHER_TRAVEL_MODE,75193726,89793188,82493457,1110660,37041533,44341264
6005,Amador County,CA,county,2021,PRIVATE_AUTO,419289362,415190679,417240021,166150709,126569327,124519985
6005,Amador County,CA,county,2021,PUBLIC_TRANSIT,202153,435956,319055,103423,49365,166266
6005,Amador County,CA,county,2021,WALKING,2926690,2931818,2929254,2920640,3025,5589
6005,Amador County,CA,county,2022,BIKING,4539994,4637214,4588604,4257051,141471,190081
6005,Amador County,CA,county,2022,CARPOOL,259362874,252182793,255772834,97202644,81080115,77490075
6005,Amador County,CA,county,2022,COMMERCIAL,20166977,22168872,21167924,3709791,8228593,9229540
6005,Amador County,CA,county,2022,ON_DEMAND_AUTO,914141,870118,892129,437534,238304,216292
6005,Amador County,CA,county,2022,OTHER_TRAVEL_MODE,56332800,72266251,64299526,3308708,26512046,34478772
6005,Amador County,CA,county,2022,PRIVATE_AUTO,458317989,467103105,462710547,168100586,145108702,149501260
6005,Amador County,CA,county,2022,PUBLIC_TRANSIT,106446,107581,107014,94240,6103,6671
6005,Amador County,CA,county,2022,WALKING,4004187,3996472,4000330,3985466,9361,5503
6005,Amador County,CA,county,2023,BIKING,4683489,4609393,4646441,4340560,171465,134417
6005,Amador County,CA,county,2023,CARPOOL,207602446,223971847,215787146,67962831,69819807,78004508
6005,Amador County,CA,county,2023,COMMERCIAL,21776732,23728811,22752772,4828876,8473928,9449968
6005,Amador County,CA,county,2023,ON_DEMAND_AUTO,835919,711261,773590,297701,269109,206780
6005,Amador County,CA,county,2023,OTHER_TRAVEL_MODE,43617058,69190450,56403754,2233473,20691793,33478488
6005,Amador County,CA,county,2023,PRIVATE_AUTO,618425241,612845176,615635208,227522200,195451520,192661488
6005,Amador County,CA,county,2023,PUBLIC_TRANSIT,76060,76060,76060,76060,0,0
6005,Amador County,CA,county,2023,WALKING,4330992,4312443,4321718,4296308,17342,8067
6007,Butte County,CA,county,2019,BIKING,29106481,29109295,29107888,28806304,150089,151496
6007,Butte County,CA,county,2019,CARPOOL,751585278,733156567,742370922,427402902,162091188,152876833
6007,Butte County,CA,county,2019,COMMERCIAL,261023499,285523884,273273692,161299181,49862159,62112351
6007,Butte County,CA,county,2019,ON_DEMAND_AUTO,7862748,7757212,7809980,5941748,960500,907732
6007,Butte County,CA,county,2019,OTHER_TRAVEL_MODE,341557284,427824383,384690833,24930676,158313304,201446853
6007,Butte County,CA,county,2019,PRIVATE_AUTO,1771879446,1794403712,1783141579,974341237,398769105,410031238
6007,Butte County,CA,county,2019,WALKING,25886411,25890634,25888522,25879139,3636,5748
6007,Butte County,CA,county,2021,BIKING,18470106,18470229,18470167,18447619,11243,11305
6007,Butte County,CA,county,2021,CARPOOL,1312395849,1304472882,1308434366,701155547,305620151,301658668
6007,Butte County,CA,county,2021,COMMERCIAL,188346393,187060808,187703601,69596361,59375016,58732224
6007,Butte County,CA,county,2021,ON_DEMAND_AUTO,6250017,6524476,6387246,5328677,460670,597899
6007,Butte County,CA,county,2021,OTHER_TRAVEL_MODE,195005259,283600882,239303071,12154703,91425278,135723090
6007,Butte County,CA,county,2021,PRIVATE_AUTO,1524376385,1531037653,1527707019,924723280,299826552,303157186
